TimeStep,Time,KineticEnergy,PotentialEnergy,TotalEnergy,Virial,Temperature,MeanSquareDisplacement
0,0.005,374.99139291653603,-2229.585894849854,-1854.594501933318,-10711.171203551445,0.4999885238887147,3.750000000000001e-05
1,0.01,374.96129298545185,-2229.556903071517,-1854.595610086065,-10696.64681934992,0.4999483906472691,0.0001499965571666143
2,0.015,374.89667585751886,-2229.4941107254845,-1854.5974348679656,-10672.365838365411,0.4998622344766918,0.00033747676439976627
3,0.02,374.7753669776785,-2229.375480903298,-1854.6001139256196,-10638.193729465298,0.4997004893035713,0.0005999103618315096
4,0.025,374.5651316793151,-2229.168864319026,-1854.6037326397109,-10593.663428372189,0.4994201755724201,0.0009372362374345768
5,0.030000000000000002,374.2225818589769,-2228.830932959869,-1854.6083511008924,-10538.057576498197,0.4989634424786359,0.0013493424138698053
6,0.035,373.69251189598367,-2228.3065325657285,-1854.6140206697448,-10470.539066973348,0.4982566825279782,0.0018360388964980545
7,0.04,372.90733474394693,-2227.5281358141874,-1854.6208010702405,-10390.113482895149,0.4972097796585959,0.0023970229018600024
8,0.045,371.78662832117476,-2226.415355104126,-1854.6287267829512,-10295.677815570367,0.495715504428233,0.0030318357689102845
9,0.049999999999999996,370.23706008799576,-2224.874855391946,-1854.63779530395,-10185.997111200977,0.493649413450661,0.0037398109509274185
10,0.05499999999999999,368.15301237294744,-2222.800935638442,-1854.6479232654945,-10059.721645598955,0.4908706831639299,0.0045200125800171536
11,0.05999999999999999,365.4184448113874,-2220.0773471808484,-1854.658902369461,-9915.44710731275,0.4872245930818499,0.005371164536720943
12,0.06499999999999999,361.9106484709828,-2216.5809930591927,-1854.67034458821,-9751.787085942507,0.48254753129464373,0.00629157078580982
13,0.06999999999999999,357.5066468164127,-2212.188266578951,-1854.681619762538,-9567.454238212273,0.4766755290885502,0.007279029037302805
14,0.075,352.0930433409392,-2206.7848508295165,-1854.6918074885773,-9361.441295536182,0.46945739112125223,0.008330741728506917
15,0.08,345.57984057214014,-2200.279540273988,-1854.6996997018477,-9133.231096334537,0.46077312076285354,0.00944323108691309
16,0.085,337.9180993231076,-2192.6219694951806,-1854.703870172073,-8883.050875447807,0.45055746576414346,0.010612268263141472
