TimeStep,Time,KineticEnergy,PotentialEnergy,TotalEnergy,Virial,Temperature,MeanSquareDisplacement
0,0.005,374.6586691054214,-2714.16525500344,-2339.506585898019,-10810.337076759344,0.49954489214056186,3.7500000000000003e-05
1,0.01,373.62505048760374,-2713.1340118455605,-2339.5089613579567,-10778.953233611419,0.49816673398347167,0.0001498634676421689
2,0.015,371.871744176748,-2711.3845174191406,-2339.5127732423925,-10726.304384109359,0.49582899223566396,0.000336674732167833
3,0.02,369.3551245366725,-2708.873143078289,-2339.5180185416166,-10651.92301642443,0.49247349938223,0.0005972218514059039
4,0.025,366.0157405284469,-2705.5403965452533,-2339.5246560168066,-10555.191345050853,0.4880209873712625,0.0009304687857297313
5,0.030000000000000002,361.7793365207778,-2701.3119456484455,-2339.532609127668,-10435.386656286742,0.4823724486943704,0.001335016729445075
6,0.035,356.55889495910657,-2696.1005264900323,-2339.5416315309258,-10291.73468240376,0.4754118599454754,0.0018090546387225352
7,0.04,350.25849756752547,-2689.8098479266096,-2339.551350359084,-10123.440064157923,0.4670113300900339,0.0023502995114636736
8,0.045,342.77981930370737,-2682.3409435558274,-2339.56112425212,-9929.78574777833,0.4570397590716098,0.002955928179681584
9,0.049999999999999996,334.03208987305004,-2673.6021102562377,-2339.5700203831875,-9710.303635068281,0.4453761198307334,0.0036225038634067975
10,0.05499999999999999,323.9465130420132,-2663.52321531127,-2339.576702269257,-9465.004944273853,0.4319286840560176,0.004345903081907902
11,0.05999999999999999,312.49583898365125,-2652.0753299264156,-2339.5794909427646,-9194.57437071737,0.4166611186448683,0.005121251851915537
12,0.06499999999999999,299.7179855291395,-2639.2946020698114,-2339.5766165406717,-8900.809245118062,0.39962398070551935,0.00594288467483315
13,0.06999999999999999,285.74011878801684,-2625.306727596649,-2339.5666088086323,-8586.928569038919,0.3809868250506891,0.006804342903757681
14,0.075,270.79655847991376,-2610.345576230213,-2339.549017750299,-8257.75066574847,0.3610620779732183,0.007698431313562248
15,0.08,255.23132811213975,-2594.7562813584955,-2339.524953246356,-7919.735745350586,0.340308437482853,0.008617348138846128
16,0.085,239.4781634627541,-2578.9752699624582,-2339.497106499704,-7580.583926356074,0.3193042179503388,0.00955289266981336
17,0.09000000000000001,224.01871421697524,-2563.487715032549,-2339.469000815574,-7248.690027691898,0.29869161895596696,0.010496736753841458
18,0.09500000000000001,209.32971027450535,-2548.773548905223,-2339.4438386307174,-6932.252722027748,0.27910628036600715,0.011440729405440888
19,0.10000000000000002,195.8345631428112,-2535.258321537107,-2339.423758394296,-6638.599925949382,0.2611127508570816,0.012377195082812393
20,0.10500000000000002,183.87027505211063,-2523.2800278140735,-2339.409752761963,-6373.641890759034,0.2451603667361475,0.013299191203616528
21,0.11000000000000003,173.67108654807902,-2513.0731756839205,-2339.4020891358414,-6141.632328773515,0.231561448730772,0.014200703952867065
22,0.11500000000000003,165.3644338832858,-2504.764984866498,-2339.400550983212,-5945.0403024057605,0.22048591184438107,0.015076774693128136
23,0.12000000000000004,158.97502907024645,-2498.3795731205096,-2339.404544050263,-5784.626461016845,0.21196670542699525,0.01592355754755578
24,0.12500000000000003,154.43531786931678,-2493.848417037883,-2339.413099168566,-5659.598571761058,0.20591375715908902,0.01673831334671263
25,0.13000000000000003,151.60150226922545,-2491.0264697872694,-2339.424967518044,-5567.821417058423,0.20213533635896727,0.01751934849606091
26,0.13500000000000004,150.27363653811318,-2489.7124283020335,-2339.43879176392,-5506.130654164675,0.20036484871748422,0.018265910048454067
27,0.14000000000000004,150.217395588726,-2489.6706579028314,-2339.4532623141054,-5470.679044404873,0.20028986078496797,0.018978050610132424
28,0.14500000000000005,151.18497860397443,-2490.6522561491925,-2339.467277545218,-5457.316085718548,0.2015799714719659,0.01965647725136443
29,0.15000000000000005,152.93306772965636,-2492.4130745521265,-2339.4800068224704,-5461.855676366967,0.20391075697287514,0.020302397826627797
30,0.15500000000000005,155.23650109668006,-2494.7274304531506,-2339.4909293564706,-5480.286816656642,0.20698200146224008,0.02091737536274921
31,0.16000000000000006,157.89728117183452,-2497.3970864325247,-2339.49980526069,-5508.976434894999,0.21052970822911268,0.021503198140710413
32,0.16500000000000006,160.7491413386271,-2500.2557851773595,-2339.5066438387325,-5544.740963121488,0.21433218845150281,0.02206176997938091
33,0.17000000000000007,163.65835454779165,-2503.1699683941342,-2339.5116138463427,-5584.885730723621,0.21821113939705553,0.02259502239596974
34,0.17500000000000007,166.52183790513115,-2506.0368182956963,-2339.514980390565,-5627.209969397329,0.22202911720684154,0.023104847772797164
35,0.18000000000000008,169.2636284882401,-2508.7806581512214,-2339.5170296629813,-5669.958511403442,0.22568483798432012,0.023593051356968334
36,0.18500000000000008,171.830784694594,-2511.348803021728,-2339.518018327134,-5711.767117289366,0.2291077129261253,0.02406131878775421
37,0.19000000000000009,174.1894977282195,-2513.707658446347,-2339.5181607181275,-5751.626623918179,0.23225266363762598,0.024511196227746578
38,0.1950000000000001,176.32165629157274,-2515.8393029407603,-2339.5176466491876,-5788.832667491326,0.23509554172209698,0.02494408051795671
39,0.2000000000000001,178.22168353596473,-2517.738356708362,-2339.5166731723975,-5822.943856751569,0.23762891138128628,0.0253612170695527
40,0.2050000000000001,179.8934141348668,-2519.4088416210902,-2339.5154274862234,-5853.718217663019,0.2398578855131557,0.02576370396401489
41,0.2100000000000001,181.3468203589763,-2520.8609582457557,-2339.5141378867793,-5881.040142021339,0.24179576047863502,0.02615250062210825
